PathogenSpecies,PathTaxID,PathGenus,PathFamily,PathOrder,PathClass,PathKingdom
Pandora delphacis,150348,Pandora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Pandora neoaphidis,76017,Pandora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Zoophthora canadensis,NA,NA,NA,NA,NA,NA
Zoophthora anglica,181061,Zoophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Zoophthora phytonomi,NA,NA,NA,NA,NA,NA
Zoophthora occidentalis,181062,Zoophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Zoophthora  sp.,34482,Zoophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Conidiobolus coronatus,34488,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Conidiobolus firmipilleus,181043,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Conidiobolus lachnodes,1342295,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Conidiobolus macrosporus,1940182,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Conidiobolus megalotocus,2045275,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Conidiobolus obscurus,164418,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Conidiobolus osmodes,181044,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Conidiobolus pseudapiculatus,423463,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Conidiobolus  sp.,34487,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Conidiobolus thromboides ,76012,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,Fungi
Entomophaga asiatica,NA,NA,NA,NA,NA,NA
Entomophaga aulicae,39303,Entomophaga,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Entomophaga australiensis,NA,NA,NA,NA,NA,NA
Entomophaga calopteni,42816,Entomophaga,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Entomophaga grylli,42811,Entomophaga,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Entomophaga kansana,NA,NA,NA,NA,NA,NA
Entomophaga macleodii,NA,NA,NA,NA,NA,NA
Entomophaga praxibuli,NA,NA,NA,NA,NA,NA
Entomophaga  sp.,39186,Entomophaga,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Entomophaga tabanivora,NA,NA,NA,NA,NA,NA
Entomophthora chromaphidis ,177369,Entomophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Entomophthora culicis,181049,Entomophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Entomophthora muscae,34485,Entomophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Entomophthora schizophorae,76013,Entomophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Entomophthora  sp.,34484,Entomophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Erynia aquatica,NA,NA,NA,NA,NA,NA
Erynia conica,181051,Erynia,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Erynia curvispora,NA,NA,NA,NA,NA,NA
Erynia dipterigena,NA,NA,NA,NA,NA,NA
Erynia neopyralidarum,NA,NA,NA,NA,NA,NA
Erynia  sp.,181050,Erynia,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Eryniopsis caroliniana,181054,Eryniopsis,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Furia virescens,423468,Furia,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Massospora cicadina,348617,Massospora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Pandora kondoiensis,176681,Pandora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Pandora nouryi,933988,Pandora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Strongwellsea castrans,76019,Strongwellsea,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Tarichium cytoneurae,NA,NA,NA,NA,NA,NA
Zoophthora  elateridiphaga,NA,NA,NA,NA,NA,NA
Zoophthora aphidis,NA,NA,NA,NA,NA,NA
Zoophthora phalloides,423470,Zoophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Neozygites floridana,164420,Neozygites,Neozygitaceae,Neozygitales,Neozygitomycetes,Fungi
Neozygites parvispora,164421,Neozygites,Neozygitaceae,Neozygitales,Neozygitomycetes,Fungi
Neozygites sp.,150350,Neozygites,Neozygitaceae,Neozygitales,Neozygitomycetes,Fungi
Neozygites tetranychi,NA,NA,NA,NA,NA,NA
Smittium morbosum,133382,Smittium,Legeriomycetaceae,Harpellales,Harpellomycetes,Fungi
Mortierella  histoplasmatoides,979707,Mortierella,Mortierellaceae,Mortierellales,Mortierellomycetes,Fungi
Mortierella claussenii,1343614,Mortierella,Mortierellaceae,Mortierellales,Mortierellomycetes,Fungi
Mortierella hyalina,64524,Linnemannia,Mortierellaceae,Mortierellales,Mortierellomycetes,Fungi
Sporodiniella umbellata,101117,Sporodiniella,Rhizopodaceae,Mucorales,Mucoromycetes,Fungi
Mucor  sp.,4830,Mucor,Mucoraceae,Mucorales,Mucoromycetes,Fungi
Torrubiella homopterorum,NA,NA,NA,NA,NA,NA
Torrubiella ratticaudata,386290,Torrubiella,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Amblyospora albifasciati,NA,NA,NA,NA,NA,NA
Amblyospora criniferis,191596,Amblyospora,Amblyosporidae,NA,NA,Fungi
Amblyospora dolosi,NA,NA,NA,NA,NA,NA
Amblyospora ferocis,NA,NA,NA,NA,NA,NA
Amblyospora inataliae,NA,NA,NA,NA,NA,NA
Amblyospora indubitantis,NA,NA,NA,NA,NA,NA
Amblyospora tramazayguesi,NA,NA,NA,NA,NA,NA
Campanulospora denticulata,NA,NA,NA,NA,NA,NA
Flabelliforma montana ,103459,Flabelliforma,Dubosqiidae,NA,NA,Fungi
