"","CitationCode","Reference","CreationDate","ModificationDate","ReadBy","GetIt","nvpCount"
"75",97,"Canning, E. U. 1960. Two new microsporidian parasites of the winter moth Operophtera brumata (L.). J. Parasitol. 46: 755-762.","1/8/2096","2/21/2099","","",4
"76",98,"Bass, L.K., and Armstrong, E. 1992. Nosema whitei: Effects on oocyte development and maturation in Tribolium castaneum.  J. Invertebr. Pathol. 59: 115-123.","1/8/2096","7/8/2096","","",1
"77",100,"Jackson, T.A. 1995. Amber disease reduces trypsin activity in midgut of Costelytra zealandica (Coleoptera; Scarabaeidae) larvae.  J. Invertebr. Pathol.  65: 68-69.","1/8/2096","7/8/2096","","",2
"78",101,"Allardyce, R.A., Keenan, J.I.,  O'Callaghan, M., and Jackson, T. A., 1991.  Serological identification of Serratia entomophaga, a bacterial pathogen of the New Zealand grass grub (Costelytra zealandica).   J. Invertebr. Pathol. 57: 250-254. ","1/8/2096","7/8/2096","","",1
"79",102,"Grimont, P.A.D., Jackson, T.A., Ageron, E. and Noonan, M.J., 1988. Serratia entomophilia sp. nov. associated with amber disease in the New Zealand grass grup Costelytra zealandica.  Int. J. Syst. Bacteriol. 38: 1-6.","1/8/2096","7/8/2096","","",1
"80",103,"Stucki, G., Jackson, T.A., Noonan, M.J., 1984.  Isolation and characterization of Serratia strains pathogenic for larvae of the New Zealand grass grub Costelytra zealandica.  N. Z. J. Sci. 27: 255-260.","1/8/2096","7/8/2096","","",1
"81",104,"Trought, T.E.T., Jackson, T.A., and French, R.A., 1982. Incidence and transmission of a disease of grass grub (Costelytra zealandica) in Canterbury.  N. Z. J. Exp. Agric. 10: 79-82.","1/8/2096","7/8/2096","","",1
"82",105,"Glare, T.R., 1992.  Further electron microsopic evidence of inapparent viral infections in the midgut of the New Zealand grass grub, Costelytra zealandica (Col: Scarabeidae).   J.  Invert. Pathol. 59: 206-209.","1/8/2096","7/8/2096","","",NA
"83",106,"Poinar, R.H., Poinar, G.O. Jr., and Jackson, T., 1991.  Electron microscope evidence of a new virus in the grass grub, Costelytra zealandica (Coleoptera: Scarabaeidae).   J.  Invertebr. Pathol. 57: 137-140.","1/8/2096","7/8/2096","","",NA
"84",107,"Dearing, S.C., Scotti, P.D., Wigley, P.J., and Dhana, S.D. 1980.  A small RNA virus isolated from the grass grub, Costelytra zealandica (Col: Scarabaeidae).   N. Z. J. Zool. 7: 267-269.","1/8/2096","7/23/2096","","",NA
"85",108,"Scotti, P.D., Dearing, S.C., and Mossop, D.W., 1983.   Flock House virus: A Nodavirus isolated  from Costelytra zealandica (White) (Coleoptera: Scarabaeidae).  Arch. Virology. 75: 181-189.","1/8/2096","7/8/2096","","",NA
"86",109,"Scotti, P.D. and Fredericksen, S., 1987.   Manawatu virus: a Nodavirus isolated from Costelytra zealandica (White) (Coleoptera: Scarabaeidae)Arch. Virology. 97: 85-92.","1/8/2096","7/8/2096","","",NA
