"","PathogenSpecies","Group","HighTaxon","LowTaxon","AdditionalNotes"
"1015","Gregarina limnophili","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)","Spelling?  Should it be limnephili?  Associations from Levine, and he  had Limnephilid hosts spelled incorrectly, too."
"1016","Gregarina wellmeri","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1017","Gregarina chilocori","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1018","Gregarina craspedonoti","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1019","Gregarina gonocephali","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1020","Gregarina columnata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1021","Gregarina isotomae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1022","Gregarina tokonoi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1023","Gregarina tubuliformis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1024","Gregarina umbilicata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1025","Gregarina compressa","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1026","Gregarina concava","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1027","Gregarina minor","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1028","Gregarina consobrina","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1029","Gregarina coptotomi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1030","Gregarina longiducta","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1031","Gregarina neglecta","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1032","Gregarina udeopsyllae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1033","Gregarina corbeli","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1034","Gregarina dragescoi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1035","Gregarina cousinea","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1036","Gregarina curvata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1037","Gregarina crassa","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1038","Gregarina crawleyi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1039","Gregarina geusi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1040","Gregarina hoshidei","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1041","Gregarina cubensis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1042","Gregarina cucumiformis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1043","Gregarina cylindrosa","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1044","Gregarina davini","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1045","Gregarina decourti","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1046","Gregarina derispiae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1047","Gregarina dimorpha","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1048","Gregarina golvani","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1049","Gregarina haranti","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1050","Gregarina morioni","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1051","Gregarina oviceps","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1052","Gregarina polyaulia","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1053","Gregarina soroniae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1054","Gregarina typographi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1055","Gregarina sericostomae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1056","Gregarina thoracotermitis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1057","Gregarina stigmae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1058","Gregarina ulomae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1059","Gregarina erotylidarum","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1060","Gregarina fallax","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1061","Gregarina grisea","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1062","Gregarina joliveti","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1063","Gregarina longa","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1064","Gregarina minuta","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1065","Gregarina omalina","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1066","Gregarina ovata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1067","Gregarina ormierei","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1068","Gregarina diestrammenae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1069","Gregarina echinata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1070","Gregarina epilachnae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1071","Gregarina gonimusi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1072","Gregarina grandicephala","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1073","Gregarina inago","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1074","Gregarina inclinata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1075","Gregarina kokunusuto","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1076","Gregarina korogi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1077","Gregarina monoducta","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1078","Gregarina platycephala","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1079","Gregarina plesiophthalmi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1080","Gregarina rhomborrhinae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1081","Gregarina nalae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1082","Gregarina nematiforma","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1083","Gregarina noncylindrica","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1084","Gregarina ophoni","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1085","Gregarina ovoidea","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1086","Gregarina paranensis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1087","Gregarina parcoblattae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1088","Gregarina passali","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1089","Gregarina peruviana","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1090","Gregarina phaleriae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1091","Gregarina phyllotretae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1092","Gregarina platydema","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1093","Gregarina platyni","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1094","Gregarina plegaderi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1095","Gregarina poeciloceri","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1096","Gregarina polaris","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1097","Bacillus moritai","Bacteria","Spore-forming bacteria","Bacillaceae",""
"1098","Bacillus alvei","Bacteria","Spore-forming bacteria","Bacillaceae",""
"1099","Bacillus brevis","Bacteria","Spore-forming bacteria","Bacillaceae",""
"1100","Bacillus pulvifaciens","Bacteria","Spore-forming bacteria","Bacillaceae",""
"1101","Bacillus megaterium","Bacteria","Spore-forming bacteria","Bacillaceae",""
"1102","Bacillus firmus","Bacteria","Spore-forming bacteria","Bacillaceae",""
"1103","Clostridium brevifaciens","Bacteria","Spore-forming bacteria","Bacillaceae",""
"1104","Clostridium malacosomae","Bacteria","Spore-forming bacteria","Bacillaceae",""
"1105","Serratia liquefaciens","Bacteria","Non-spore-forming bacteria","Enterobacteriaceae",""
"1106","Enterobacter aerogenes","Bacteria","Non-spore-forming bacteria","Enterobacteriaceae",""
"1107","Corynebacterium okanaganae","Bacteria","Actinomycetes","",""
"1108","Rickettsiella melolonthae","Bacteria","Rickettsiales","Chlamydiaceae",""
"1109","Spiroplasma melliferum","Mollicutes","Spiroplasma","Spiroplasmataceae",""
"1110","Spiroplasma apis","Mollicutes","Spiroplasma","Spiroplasmataceae",""
"1111","Coelomomyces africanus","Fungi","Chytridiomycetes","Blastocladiales",""
"1112","Coelomomyces anophelesicus","Fungi","Chytridiomycetes","Blastocladiales","Spelling: anophelesica or anophelesicus (as in Couch and Bland, ref 2039)?"
"1113","Coelomomyces ascariformis","Fungi","Chytridiomycetes","Blastocladiales","Regarded as a “nomen confusum” by Couch and Bland (ref 2039)"
"1114","Coelomomyces bisymmetricus","Fungi","Chytridiomycetes","Blastocladiales",""
"1115","Coelomomyces cairnsensis","Fungi","Chytridiomycetes","Blastocladiales",""
"1116","Coelomomyces cribrosus","Fungi","Chytridiomycetes","Blastocladiales",""
"1117","Coelomomyces finlayae","Fungi","Chytridiomycetes","Blastocladiales",""
"1118","Coelomomyces grassei","Fungi","Chytridiomycetes","Blastocladiales",""
"1119","Coelomomyces indiana","Fungi","Chytridiomycetes","Blastocladiales",""
"1120","Coelomomyces keilini","Fungi","Chytridiomycetes","Blastocladiales",""
"1121","Coelomomyces lativittatus","Fungi","Chytridiomycetes","Blastocladiales",""
"1122","Coelomomyces pentangulatus","Fungi","Chytridiomycetes","Blastocladiales",""
"1123","Coelomomyces quadrangulatus","Fungi","Chytridiomycetes","Blastocladiales",""
"1124","Coelomomyces sculptosporus","Fungi","Chytridiomycetes","Blastocladiales",""
"1125","Coelomomyces solomonis","Fungi","Chytridiomycetes","Blastocladiales",""
"1126","Coelomomyces uranotaeniae","Fungi","Chytridiomycetes","Blastocladiales",""
"1127","Coelomomyces tasmamensis","Fungi","Chytridiomycetes","Blastocladiales",""
"1128","Coelomomyces walkeri","Fungi","Chytridiomycetes","Blastocladiales",""
"1129","Nosema parkeri","Protozoa","Microspora","Microsporea (Microsporida)",""
"1130","Amblyospora styriaca","Protozoa","Microspora","Microsporea (Microsporida)",""
"1131","Helmichia glandulicola","Protozoa","Microspora","Microsporea (Microsporida)",""
"1132","Gregarina embiae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1133","Gregarina endomychi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1134","Gregarina epilamprae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1135","Gregarina fastidiosa","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1136","Gregarina fernandoi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1137","Gregarina fontanae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1138","Gregarina galliveri","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1139","Gregarina gibbsi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1140","Gregarina globosa","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1141","Gregarina grassei","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1142","Gregarina grylli","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1143","Gregarina gryllotalpae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1144","Gregarina guttiventra","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1145","Gregarina heterochirae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1146","Gregarina hyalocephala","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1147","Gregarina kazumii","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1148","Gregarina ipidiae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1149","Gregarina kingi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1150","Gregarina labidurae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1151","Gregarina lagenoides","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1152","Gregarina larvarum","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1153","Gregarina lalatumerata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1154","Gregarina diforma","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1155","Gregarina electae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1156","Gregarina fusipara","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1157","Gregarina laucournetensis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1158","Gregarina lipai","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1159","Gregarina locustae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1160","Gregarina longirostris","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1161","Gregarina lypropsi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1162","Gregarina macrocephalia","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1163","Gregarina macrotermitis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1164","Gregarina maculata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1165","Gregarina malachiidarum","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1166","Gregarina marteli","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1167","Gregarina maliensis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1168","Gregarina megaspora","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1169","Gregarina melolonthae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1170","Gregarina microcephala","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1171","Gregarina mirotermitis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1172","Gregarina princisi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1173","Gregarina ptini","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1174","Gregarina pusilla","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1175","Gregarina quenui","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1176","Gregarina raphidiae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1177","Gregarina rhyparobiae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1178","Gregarina rondoni","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1179","Gregarina rostrata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1180","Gregarina ruszkowskii","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1181","Gregarina scarabei","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1182","Gregarina segmentata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1183","Gregarina statirae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1184","Gregarina soror","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1185","Gregarina steini","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1186","Gregarina stygia","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1187","Gregarina subtilis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1188","Gregarina tahitiensis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1189","Gregarina tenuis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1190","Gregarina tetricis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1191","Gregarina uniducta","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1192","Gregarina vellardi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1193","Gregarina verroni","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1194","Gregarina vizri","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1195","Gregarina vulgata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1196","Gregarina wahrmani","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1197","Erhardovina bisphaera","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1198","Erhardovina carabodis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1199","Erhardovina euzeti","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)"," "
"1200","Erhardovina fuscozetis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1201","Erhardovina phtiracari","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1202","Erhardovina platynothri","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1203","Erhardovina postneri","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1204","Erhardovina scutovertexi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1205","Leidyana gryllorum","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1206","Leidyana aglossae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1207","Leidyana erratica","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1208","Leidyana gnyanagangai","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1209","Leidyana lancea","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1210","Leidyana latifolia","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1211","Leidyana latiformis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1212","Leidyana limnophili","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)","Spelling?  Should it be limnephili?  Associations from Levine, and he  had Limnephilid hosts spelled incorrectly, too."
"1213","Leidyana linguata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1214","Leidyana oblonga","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1215","Leidyana vierlingi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1216","Leidyana obtusa","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1217","Leidyana oviformis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1218","Leidyana peregrinata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1219","Leidyana saigonensis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1220","Leidyana stejskali","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1221","Leidyana suzumushi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1222","Leidyana tinei","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1223","Leidyana xylocopae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1224","Sphaerocystis termitis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1225","Schneideria mucronata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1226","Schneideria caudata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1227","Schneideria pusilla","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1228","Schneideria quadrinotati","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1229","Schneideria schneideri","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)","Spelling in Tanada & Kaya and in da Cunha & Jurand (1978, description) is Schneideria schneiderae.  Levine (1988) claims that’s a synonym and uses S. schneideri.  Is Levine right?"
"1230","Paraschneideria metamorphosa","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1231","Neoschneideria aprilinae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1232","Neoschneideria douxi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1233","Stylocephalus africanus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1234","Stylocephalus bahli","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1235","Stylocephalus brevirostris","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1236","Stylocephalus carabi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1237","Stylocephalus depressicus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1238","Stylocephalus devdhari","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1239","Stylocephalus conoides","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1240","Stylocephalus oblongatus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1241","Entomophaga tenthredinis","Fungi","Zygomycetes","Entomophthorales",""
"1242","Furia crustosa","Fungi","Zygomycetes","Entomophthorales",""
"1243","Massospora levispora","Fungi","Zygomycetes","Entomophthorales",""
"1244","Beauveria tenella","Fungi","Deuteromycetes","Unknown",""
"1245","Stylocephalus longicollis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1246","Stylocephalus mesomorphi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1247","Stylocephalus pauliani","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1248","Stylocephalus phaleriae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1249","Stylocephalus eastoni","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1250","Stylocephalus filiformis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1251","Stylocephalus eledonae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1252","Stylocephalus elongatus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1253","Stylocephalus ensiferus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1254","Stylocephalus giganteus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1255","Stylocephalus gigas","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1256","Stylocephalus reticulatus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1257","Stylocephalus lingulus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1258","Stylocephalus japonicus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1259","Stylocephalus ingeri","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1260","Stylocephalus gonocephali","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1261","Stylocephalus hoffmannseggi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1262","Stylocephalus indicus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1263","Stylocephalus punctulatus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1264","Stylocephalus phalloides","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1265","Stylocephalus variabilis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1266","Stylocephaloides monodi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1267","Stylocephaloides setenis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1268","Cystocephalus aethiopicus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1269","Cystocephalus algerianus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1270","Cystocephalus albrechti","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1271","Cystocephalus trapezus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1272","Cystocephalus gabei","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1273","Cystocephalus hollandei","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1274","Cystocephalus leidyi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1275","Cystocephalus rhytinotus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1276","Bulbocephalus indicus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1277","Xiphocephalus africanus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1278","Xiphocephalus gladiator","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1279","Xiphocephalus karnatakaensis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1280","Xiphocephalus latipes","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1281","Xiphocephalus phaleriae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1282","Xiphocephalus serpentula","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1283","Lophocephalus insignis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1284","Lophocephalus fernandezi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1285","Lophocephaloides ardoini","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1286","Lophocephaloides thripterae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1287","Sphaerorhynchus ophioides","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1288","Sphaerorhynchus stenosiae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1289","Sphaerorhynchus chabaudi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1290","Sphaerorhynchus hamoni","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1291","Oocephalus hispanus","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1292","Oocephalus dromii","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1293","Campanacephalus villiersi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1294","Clavicephalus laosensis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1295","Clavicephalus papuensis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1296","Cystocephaloides prionothecae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1297","Lepismatophila campodea","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1298","Lepismatophila orientalis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1299","Lepismatophila parva","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1300","Lepismatophila piliformis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1301","Lepismatophila plusiocampae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1302","Lepismatophila rhombocephala","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1303","Lepismatophila thermobiae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1304","Colepismatophila buckleyi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1305","Colepismatophila burti","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
