"","ERNnem","Host","Nematode","NemaOrder","NemaFamily","NemaStrain","StageInfected","TissueInfected","FieldOrLab","Country","SoilType","AssociatedBacterium","IntermediateHost","CreationDate","ModificationDate","Group"
"94",111,"Phyllophaga sp.","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","HP88","Larva","Hemocoel","Field","USA","","Photorhabdus luminescens","none","5/27/2097","2/12/2099","Nematode"
"95",112,"Diabrotica balteata","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Creighton","Larva","Hemocoel","Field","USA","","Photorhabdus luminescens","none","5/27/2097","2/12/2099","Nematode"
"96",113,"Curculio caryae","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Hamm","Larva","Hemocoel","Field","USA","","Photorhabdus luminescens","none","5/27/2097","2/12/2099","Nematode"
"97",114,"Diaprepes abbreviatus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","McCoy","Larva","Hemocoel","Field","USA","","Photorhabdus luminescens","none","5/27/2097","2/12/2099","Nematode"
"98",115,"Diaprepes abbreviatus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Schroeder","Larva","Hemocoel","Field","USA","","Photorhabdus luminescens","none","5/27/2097","2/12/2099","Nematode"
"99",116,"Helicoverpa punctigera","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","HB1 ","Larva","Hemocoel","Field","Australia","","Photorhabdus luminescens","none","5/27/2097","2/12/2099","Nematode"
"100",117,"Helicoverpa zea","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","NC1","Larva","Hemocoel","Field","USA","","Photorhabdus luminescens","none","5/27/2097","2/12/2099","Nematode"
"101",118,"Diatraea grandiosella","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Overholt","Larva","Hemocoel","Field","USA","","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"102",119,"Popillia japonica","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","not maintained ","Larva","Hemocoel","Field","USA","grassland golf course","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"103",120,"Popillia japonica","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","HO1","Larva","Hemocoel","Field","USA","grassland golf course","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"104",121,"Phyllopertha horticola","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","NLHB 87.1","Larva","Hemocoel","Field","The Netherlands","grassland","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"105",122,"Phyllopertha horticola","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","NLH Hi93","Larva","Hemocoel","Field","The Netherlands","sandy loam, loamy sand / home gardens","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"106",123,"Phyllopertha horticola","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","NLH A93","Larva","Hemocoel","Field","The Netherlands","sandy loam, loamy sand / cemetary","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"107",124,"Phyllopertha horticola","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","NLH H9292.2","Larva","Hemocoel","Field","The Netherlands","sandy loam, loamy sand / grassland","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"108",125,"Phyllopertha horticola","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","NLH H94.1","Larva","Hemocoel","Field","The Netherlands","sandy loam, loamy sand / grassland","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"109",126,"Amphimallon solstitialis","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","NLH HJun91","Larva","Hemocoel","Field","The Netherlands","sandy loam, loamy sand / grassland golf course","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"110",127,"Amphimallon solstitialis","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","NLH AJ93","Larva","Hemocoel","Field","The Netherlands","sandy loam, loamy sand / grassland golf course","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"111",128,"Otiorhynchus sulcatus","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","HSH1","Larva","Hemocoel","Field","Germany","home gardens","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"112",129,"Heteronychus arator","Heterorhabditis zealandica","Rhabditida","Heterorhabditidae","NZH","Larva","Hemocoel","Field","New Zealand","","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"113",130,"Agriotes ponticus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","not maintained","Larva","Hemocoel","Field","Republica Moldova","loamy sand / vegetables, grain","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"114",131,"Hoplocampa testudinae","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","not maintained","Larva","Hemocoel","Field","Poland","sandy loam / orchards","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"115",132,"Phyllopertha horticola","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","HSH3","Larva","Hemocoel","Field","Germany","loamy sand / grassland golf courses","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"116",133,"Popillia japonica","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","not maintained ","Larva","Hemocoel","Field","USA","","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"117",134,"Popillia japonica","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Elgria","Larva","Hemocoel","Field","USA","","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"118",135,"Lepidiota crinita","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","Australia","coarse alluvial sand grading to fine silt / sugar cane, first ratoon","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"119",136,"Lepidiota negatoria","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","Australia","coarse alluvial sand grading to fine silt / sugar cane, first ratoon","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"120",137,"Lepidiota picticollis","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","Australia","coarse alluvial sand grading to fine silt / sugar cane, first ratoon","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"121",138,"Antitrogus consanguineus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","Australia","coarse alluvial sand grading to fine silt / sugar cane, first ratoon","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"122",139,"Graphognathus leucoloma","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","Australia","","Photorhabdus sp.","none","5/27/2097","12/28/2000","Nematode"
"123",140,"Graphognathus leucoloma","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","nematode 41088","Larva","Hemocoel","Field","USA, Australia","","Photorhabdus lsp.","none","5/27/2097","12/28/2000","Nematode"
"124",141,"Cylas formicarius","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Tetuan","Larva","Hemocoel","Field","Cuba","","Photorhabdus sp.","none","5/27/2097","2/12/2099","Nematode"
"125",142,"Pachnaeus litus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","P2M","Larva","Hemocoel","Field","Cuba","","Photorhabdus sp.","none","5/27/2097","2/3/2000","Nematode"
