ERNnem,refCode,Reference,Host,Nematode
14,1265,"Nguyen, K. B. and Smart, G. C., Jr., 1990.  Steinernema scapterisci n. sp. (Rhabditida: Steinernematidae).  Journal of Nematology 23: 187-199.",Scapteriscus vicinus,Steinernema scapterisci
95,1269,"Stock, S. P., Gardner, L. L., Wu, F. F. and Kaya, H. K., 1995.  Characterization of two Steinernema scapterisci populations (Nematoda: Steinernematidae) using morphology and random amplified polymorphic DNA markers.  Journal of the Helminthological Society of Washington 62: 242-249.",Scapteriscus borellii,Steinernema scapterisci
15,1270,"Parkman, J. P. and Frank, J. H., 1992.  Infection of sound-trapped mole crickets, Scapteriscus spp., by Steinernema scapterisci.  Florida Entomologist 75: 163-165.",Scapteriscus vicinus,Steinernema scapterisci
16,1270,"Parkman, J. P. and Frank, J. H., 1992.  Infection of sound-trapped mole crickets, Scapteriscus spp., by Steinernema scapterisci.  Florida Entomologist 75: 163-165.",Scapteriscus borellii,Steinernema scapterisci
96,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Phyllopertha horticola,Steinernema sp.
97,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Amphimallon solstitialis,Steinernema sp.
98,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109",Scitala sericans,Steinernema sp.
99,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109",Adoryphorus couloni,Steinernema sp.
100,1250,"Stanuszek, S., 1974a. Neoaplectana feltiae complex (Rhabditoidea, Steinernematidae), its taxonomic position within the genus Neoaplectana and traspecific structure.  Zeszty Problemowe Postepów Nauk Rolniczych 154: 331-360.",Leptinotarsa decemlineata,Steinernema sp.
101,1271,"Klein, M. G., 1990.  Efficacy against soil-inhabiting insect pests, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. and Kaya, H. K., Eds) CRC Press, Boca Raton, FL, pp. 195-214.",Graphognathus sp.,Steinernema sp.
102,1288,"Weiser, J., 1960.  Nemoci panrav chroustu v CSR. Vestn. Cesk. Zool. Spol. 24: 71-74.  (in Czech, English summary)",Cryptorrhynchus lapathi,Steinernema sp.
