"","HostOriginal","HostTaxID","HostNCBIResolved","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathNCBIResolved","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom","Group","HighTaxon","Host","HostStageTested","HostTissueInfected","interaction","LogMaxDose","LowTaxon","Pathogen","insectStatus"
"4681","Trioxycanus enysii",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Apicomplexa","Trioxycanus enysii","","",1,NA,"Gregarinidea (Eugregarinida)","Pseudomonocystis spinosus",NA
"4682","Pheloneis aeratum",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Apicomplexa","Pheloneis aeratum","","",1,NA,"Gregarinidea (Neogregarinida)","Ophryocystis marplesi",NA
"4683","Zeadelium lentum",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Apicomplexa","Zeadelium lentum","","",1,NA,"Gregarinidea (Neogregarinida)","Ophryocystis marplesi",NA
"4684","Zeadelium nigritulum",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Apicomplexa","Zeadelium nigritulum","","",1,NA,"Gregarinidea (Neogregarinida)","Ophryocystis marplesi",NA
"4685","Mimopeus otagensis",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Apicomplexa","Mimopeus otagensis","","",1,NA,"Gregarinidea (Neogregarinida)","Ophryocystis marplesi",NA
"4686","Calliphora quadrimaculata","81696",TRUE,"Calliphora","Calliphoridae","Diptera","Insecta","5718",TRUE,"Herpetomonas","Trypanosomatidae","Trypanosomatida","Kinetoplastea",NA,"Protozoa","Euglenozoa","Calliphora quadrimaculata","","Midgut",1,NA,"Kinetoplastidea (Trypanosomatida)","Herpetomonas muscarum",NA
"4687","Choristoneura rosaceana","27543",TRUE,"Choristoneura","Tortricidae","Lepidoptera","Insecta","481674",TRUE,"Nosema","Nosematidae",NA,NA,"Fungi","Protozoa","Microspora","Choristoneura rosaceana","","Gut and Malpighian tubules",1,NA,"Microsporea (Microsporida)","Nosema fumiferanae","Pest"
"4688","Megachile rotundata","143995",TRUE,"Megachile","Megachilidae","Hymenoptera","Insecta","176275",TRUE,"Beauveria","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Megachile rotundata","","",1,NA,"unknown","Beauveria bassiana","Beneficial"
"4689","Aedes trivittatus","228918",TRUE,"Ochlerotatus","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Chytridiomycetes","Aedes trivittatus","Larva","",1,NA,"Blastocladiales","Coelomomyces psorophorae",NA
"4690","Aedes fitchii","743691",TRUE,"Ochlerotatus","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Chytridiomycetes","Aedes fitchii","Larva","",1,NA,"Blastocladiales","Coelomomyces borealis","Pest"
"4691","Aedes stimulans","228919",TRUE,"Ochlerotatus","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Chytridiomycetes","Aedes stimulans","Larva","",1,NA,"Blastocladiales","Coelomomyces borealis","Pest"
"4692","Culiseta inornata","704160",TRUE,"Culiseta","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Chytridiomycetes","Culiseta inornata","Larva","",1,NA,"Blastocladiales","Coelomomyces clavisporus","Pest"
"4693","Culex territans","42431",TRUE,"Culex","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Chytridiomycetes","Culex territans","Larva","",1,NA,"Blastocladiales","Coelomomyces clavisporus","Pest"
"4694","Aedes vexans","7163",TRUE,"Aedes","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Deuteromycetes","Aedes vexans","Larva","",1,NA,"unknown","Culicinomyces clavisporus","Pest"
"4695","Aedes vexans","7163",TRUE,"Aedes","Culicidae","Diptera","Insecta","4770",TRUE,"Saprolegnia","Saprolegniaceae","Saprolegniales",NA,NA,"Fungi","Oomycetes","Aedes vexans","Larva","",1,NA,"Saprolegniales","Saprolegnia ferax","Pest"
"4696","Culiseta alaskaensis","1788509",TRUE,"Culiseta","Culicidae","Diptera","Insecta","4770",TRUE,"Saprolegnia","Saprolegniaceae","Saprolegniales",NA,NA,"Fungi","Oomycetes","Culiseta alaskaensis","Larva","",1,NA,"Saprolegniales","Saprolegnia ferax","Wildlife"
