HostSpecies,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass
Lechriolepis basirufa,NA,NA,NA,NA,NA
Hydriomena irata,942305,Hydriomena,Geometridae,Lepidoptera,Insecta
Hydriomena nubilofasciata,942310,Hydriomena,Geometridae,Lepidoptera,Insecta
Hydriomena amicaria,NA,NA,NA,NA,NA
Hydriomena athleta,NA,NA,NA,NA,NA
Myrteta tinagmaria,NA,NA,NA,NA,NA
Hemichroa crocea,362198,Hemichroa,Tenthredinidae,Hymenoptera,Insecta
Euplexia lucipara,987933,Euplexia,Noctuidae,Lepidoptera,Insecta
Eligma narcissus,938228,Eligma,Nolidae,Lepidoptera,Insecta
Earias biplaga,NA,NA,NA,NA,NA
Earias insulana,1231953,Earias,Nolidae,Lepidoptera,Insecta
Dirphia gragatus,NA,NA,NA,NA,NA
Aeropus sibiricus,1007316,Gomphocerus,Acrididae,Orthoptera,Insecta
Doratifera casta,1372958,Doratifera,Limacodidae,Lepidoptera,Insecta
Darna trima,NA,NA,NA,NA,NA
Acantholyda erythrocephala,455475,Acantholyda,Pamphiliidae,Hymenoptera,Insecta
Andraca bipunctata,NA,NA,NA,NA,NA
Aproaerema modicella,2741915,Aproaerema,Gelechiidae,Lepidoptera,Insecta
Euplagia quadripunctaria,987932,Euplagia,Erebidae,Lepidoptera,Insecta
Chilo agamemnon,NA,NA,NA,NA,NA
Brachymeria intermedia,NA,NA,NA,NA,NA
Chelonus blackburni,586671,Chelonus,Braconidae,Hymenoptera,Insecta
Meteorus leviventris,NA,NA,NA,NA,NA
Voria ruralis,569102,Voria,Tachinidae,Diptera,Insecta
Phaedon brassicae,154011,Phaedon,Chrysomelidae,Coleoptera,Insecta
Chrysopa carnea,189513,Chrysoperla,Chrysopidae,Neuroptera,Insecta
Geocoris pallens,881461,Geocoris,Geocoridae,Hemiptera,Insecta
Orius tristicolor,82750,Orius,Anthocoridae,Hemiptera,Insecta
Xenopsylla hirtipes,NA,NA,NA,NA,NA
Staphylus hayhurstii,2201605,Staphylus,Hesperiidae,Lepidoptera,Insecta
Homoeosoma electellum,943736,Homoeosoma,Pyralidae,Lepidoptera,Insecta
Cydia molesta,192188,Grapholita,Tortricidae,Lepidoptera,Insecta
Cicadulina bimaculata,NA,NA,NA,NA,NA
Dacus tryoni,NA,NA,NA,NA,NA
Oreopsyche angustella,NA,NA,NA,NA,NA
Eucocytia meeki,1126771,Eucocytia,Noctuidae,Lepidoptera,Insecta
Euploea core,127258,Euploea,Nymphalidae,Lepidoptera,Insecta
Pulex simulans,154009,Pulex,Pulicidae,Siphonaptera,Insecta
Merodon equestris,511117,Merodon,Syrphidae,Diptera,Insecta
Darna nararia,NA,NA,NA,NA,NA
Pantana phyllostachysae,NA,NA,NA,NA,NA
Feralia jocosa,214150,Feralia,Noctuidae,Lepidoptera,Insecta
Aedes aurifer,329101,Ochlerotatus,Culicidae,Diptera,Insecta
Aedes mediovittatus,1206302,Ochlerotatus,Culicidae,Diptera,Insecta
Allotruxalis strigata,NA,NA,NA,NA,NA
Anopheles hyrcanus,138534,Anopheles,Culicidae,Diptera,Insecta
Arphia pseudonietana,37248,Arphia,Acrididae,Orthoptera,Insecta
Cadra angulosa,NA,NA,NA,NA,NA
Campylacantha olivacea olivacea,NA,NA,NA,NA,NA
Citheronia regalis,690180,Citheronia,Saturniidae,Lepidoptera,Insecta
Cordillacris occipitalis ,355381,Cordillacris,Acrididae,Orthoptera,Insecta
Culex secutor,1206312,Culex,Culicidae,Diptera,Insecta
Eacles imperialis,180268,Eacles,Saturniidae,Lepidoptera,Insecta
Fannia canicularis,307205,Fannia,Fanniidae,Diptera,Insecta
Fannia femoralis,NA,NA,NA,NA,NA
Leptinotarsa juncta,216192,Leptinotarsa,Chrysomelidae,Coleoptera,Insecta
Meligethes aeneus,1431903,Brassicogethes,Nitidulidae,Coleoptera,Insecta
Opifex fuscus,704161,Opifex,Culicidae,Diptera,Insecta
Trachyrhachys kiowa,37263,Trachyrhachys,Acrididae,Orthoptera,Insecta
Trimerotropis maritima,1224109,Trimerotropis,Acrididae,Orthoptera,Insecta
Wyeomyia mitchellii,857316,Wyeomyia,Culicidae,Diptera,Insecta
Zale unilineata,214388,Zale,Erebidae,Lepidoptera,Insecta
Diabrotica virgifera virgifera,50389,Diabrotica,Chrysomelidae,Coleoptera,Insecta
Euchaetes egle,214131,Euchaetes,Erebidae,Lepidoptera,Insecta
Feltia jaculifera,48986,Feltia,Noctuidae,Lepidoptera,Insecta
Lacinipolia renigera,56390,Lacinipolia,Noctuidae,Lepidoptera,Insecta
Symmerista albifrons,56592,Symmerista,Notodontidae,Lepidoptera,Insecta
Ceratomia catalpae,119246,Ceratomia,Sphingidae,Lepidoptera,Insecta
Zygogramma suturalis,216195,Zygogramma,Chrysomelidae,Coleoptera,Insecta
Chironomus riparius,315576,Chironomus,Chironomidae,Diptera,Insecta
Epinotia tedella,1100986,Epinotia,Tortricidae,Lepidoptera,Insecta
Nomophila nearctica,1113293,Nomophila,Crambidae,Lepidoptera,Insecta
Epiplatys bifasciatus,446438,Epiplatys,Nothobranchiidae,Cyprinodontiformes,Actinopteri
Anopheles litoralis,59151,Anopheles,Culicidae,Diptera,Insecta
Hydrotaea ignava,1073095,Hydrotaea,Muscidae,Diptera,Insecta
Simulium bivittatum,37337,Simulium,Simuliidae,Diptera,Insecta
Ascotis selenaria,414916,Ascotis,Geometridae,Lepidoptera,Insecta
Okanagana rimosa,1464975,Okanagana,Cicadidae,Hemiptera,Insecta
Melolontha vulgaris,NA,NA,NA,NA,NA
Chironomus frommeri,1380969,Chironomus,Chironomidae,Diptera,Insecta
Aedes geniculatus,120874,Aedes,Culicidae,Diptera,Insecta
Nycteribia dentata,NA,NA,NA,NA,NA
Lutzomyia townsendi,237254,Lutzomyia,Psychodidae,Diptera,Insecta
Megaselia subnitida,1701716,Megaselia,Phoridae,Diptera,Insecta
Scutovertex minutus,504893,Scutovertex,Scutoverticidae,Sarcoptiformes,Arachnida
Haploembia solieri,1009599,Haploembia,Oligotomidae,Embioptera,Insecta
Dorcus parallelopipedus,41107,Dorcus,Lucanidae,Coleoptera,Insecta
Systenus adpropinquans,NA,NA,NA,NA,NA
Bombus affinis,309941,Bombus,Apidae,Hymenoptera,Insecta
Bombus bimaculatus,309944,Bombus,Apidae,Hymenoptera,Insecta
Bombus griseocollis,207634,Bombus,Apidae,Hymenoptera,Insecta
Bombus perplexus,207644,Bombus,Apidae,Hymenoptera,Insecta
Bombus terricola,207648,Bombus,Apidae,Hymenoptera,Insecta
Bombus vagans,239131,Bombus,Apidae,Hymenoptera,Insecta
Orchopeas wickhami,NA,NA,NA,NA,NA
Panorpa communis,52816,Panorpa,Panorpidae,Mecoptera,Insecta
Tenebroides mauritanicus,433272,Tenebroides,Trogossitidae,Coleoptera,Insecta
Palembus ocularis,NA,NA,NA,NA,NA
Arcyptera brevipennis,2024669,Arcyptera,Acrididae,Orthoptera,Insecta
Acrotylus insubricus,433444,Acrotylus,Acrididae,Orthoptera,Insecta
Acrotylus patruelis,433445,Acrotylus,Acrididae,Orthoptera,Insecta
Anoncoctus alpinus,NA,NA,NA,NA,NA
Calliptamus wattenwylianus,795153,Calliptamus,Acrididae,Orthoptera,Insecta
Hadrolecocatantops quadratus,NA,NA,NA,NA,NA
Decticus verrucivorus,441217,Decticus,Tettigoniidae,Orthoptera,Insecta
Chorthippus biguttulus,270253,Chorthippus,Acrididae,Orthoptera,Insecta
Chorthippus pullus,910373,Chorthippus,Acrididae,Orthoptera,Insecta
Hesperotettix viridis pratensis,NA,NA,NA,NA,NA
Ruspolia nitidula,62786,Ruspolia,Tettigoniidae,Orthoptera,Insecta
Melanoplus rusticus obovatipennis,NA,NA,NA,NA,NA
Platycleis albopunctata albopunctata,NA,NA,NA,NA,NA
Myrmeleotettix maculatus,1034393,Myrmeleotettix,Acrididae,Orthoptera,Insecta
Oedaleus decorus,319231,Oedaleus,Acrididae,Orthoptera,Insecta
Oedipoda coerulescens,58615,Oedipoda,Acrididae,Orthoptera,Insecta
Oedipoda fuscocincta coerulea,NA,NA,NA,NA,NA
Oedipoda germanica,NA,NA,NA,NA,NA
Oedipoda miniata,433451,Oedipoda,Acrididae,Orthoptera,Insecta
Parapropacris rhodopterus,NA,NA,NA,NA,NA
Saga pedo pedo,NA,NA,NA,NA,NA
Serpusia lemarineli,NA,NA,NA,NA,NA
Sphingonotus coerulans,NA,NA,NA,NA,NA
Stenobothrus nigromaculatus,355409,Stenobothrus,Acrididae,Orthoptera,Insecta
Tetrix bipunctatus,NA,NA,NA,NA,NA
Heptagenia flava,2014024,Heptagenia,Heptageniidae,Ephemeroptera,Insecta
Baetis buceratus,197117,Baetis,Baetidae,Ephemeroptera,Insecta
Hydrochara caraboides,1208885,Hydrochara,Hydrophilidae,Coleoptera,Insecta
Aulacophora femoralis,NA,NA,NA,NA,NA
Chapuisia usambarica,NA,NA,NA,NA,NA
Chapuisia nitida,NA,NA,NA,NA,NA
Chrysolina aurichalces,NA,NA,NA,NA,NA
Chrysolina menthastri,NA,NA,NA,NA,NA
Chrysolina staphylea,NA,NA,NA,NA,NA
Leptaulaca vinula,NA,NA,NA,NA,NA
Monolepta pauperata,NA,NA,NA,NA,NA
Morphosphaeroides africana,NA,NA,NA,NA,NA
Nisotra delecta,NA,NA,NA,NA,NA
Paracantha vicina,NA,NA,NA,NA,NA
Paracantha multicolor,NA,NA,NA,NA,NA
Phaedonia arcata,NA,NA,NA,NA,NA
Rhaphidopalpa similis,NA,NA,NA,NA,NA
Strobiderus aequatorialis,NA,NA,NA,NA,NA
Tetrix arenosa angusta,NA,NA,NA,NA,NA
Trox hispidus,1971873,Trox,Trogidae,Coleoptera,Insecta
Gonocephalum simplex,NA,NA,NA,NA,NA
Conocephalus maculatus,578476,Conocephalus,Tettigoniidae,Orthoptera,Insecta
Conocephalus iris,NA,NA,NA,NA,NA
Alphitophagus bifasciatus,877854,Alphitophagus,Tenebrionidae,Coleoptera,Insecta
Pterostichus cupreus,270614,Poecilus,Carabidae,Coleoptera,Insecta
Forficula planicollis,NA,NA,NA,NA,NA
Altica caerulescens,404222,Altica,Chrysomelidae,Coleoptera,Insecta
Anabolia soror,NA,NA,NA,NA,NA
Drusus annulatus,492533,Drusus,Limnephilidae,Trichoptera,Insecta
Drusus plicatus,1318487,Drusus,Limnephilidae,Trichoptera,Insecta
Antherophagus nigricornis,433189,Antherophagus,Cryptophagidae,Coleoptera,Insecta
Formicomus pedestris,700423,Formicomus,Anthicidae,Coleoptera,Insecta
Loxoblemmus arietulus,1574123,Loxoblemmus,Gryllidae,Orthoptera,Insecta
Arthromacra sumptuosa,NA,NA,NA,NA,NA
Atomaria linearis,877804,Atomaria,Cryptophagidae,Coleoptera,Insecta
Thoracotermes macrothorax,377994,Thoracotermes,Termitidae,Blattodea,Insecta
Allognathotermes hypogeus,2854009,Allognathotermes,Termitidae,Blattodea,Insecta
Pericaptritermes urgens,NA,NA,NA,NA,NA
Corynetes coeruleus,NA,NA,NA,NA,NA
Necrobia ruficollis,433250,Necrobia,Cleridae,Coleoptera,Insecta
Necrobia violacea,878158,Necrobia,Cleridae,Coleoptera,Insecta
Blaberus claraziana,NA,NA,NA,NA,NA
Blaberus discoidalis,6981,Blaberus,Blaberidae,Blattodea,Insecta
Coccinella bipunctata,NA,NA,NA,NA,NA
Tytthaspis sedecipunctata,NA,NA,NA,NA,NA
Brachypterus urticae,433201,Brachypterus,Kateretidae,Coleoptera,Insecta
Broscus cephalotes,1553377,Broscus,Carabidae,Coleoptera,Insecta
Byrrhus cyclophorus,NA,NA,NA,NA,NA
Byrrhus pilula,174916,Byrrhus,Byrrhidae,Coleoptera,Insecta
Cytilus sericeus,338699,Cytilus,Byrrhidae,Coleoptera,Insecta
Simplocaria semistriata,338701,Simplocaria,Byrrhidae,Coleoptera,Insecta
Osmoderma eremita,314302,Osmoderma,Scarabaeidae,Coleoptera,Insecta
Potosia cuprea,360077,Protaetia,Scarabaeidae,Coleoptera,Insecta
Cis boleti,433030,Cis,Ciidae,Coleoptera,Insecta
Cis micans,577917,Cis,Ciidae,Coleoptera,Insecta
Rhopalodontus fracticornis,NA,NA,NA,NA,NA
Pyrochroa coccinea,295985,Pyrochroa,Pyrochroidae,Coleoptera,Insecta
Cerylon ferrugineum,347308,Cerylon,Cerylonidae,Coleoptera,Insecta
Cerylon histeroides,347309,Cerylon,Cerylonidae,Coleoptera,Insecta
Chelidura acanthopygia,2546181,Chelidura,Forficulidae,Dermaptera,Insecta
Ceropria anthracina,NA,NA,NA,NA,NA
Ceropria romandi,NA,NA,NA,NA,NA
Chiroscelis digitata,NA,NA,NA,NA,NA
Stenosis angustata,NA,NA,NA,NA,NA
Strongylium buettneri,NA,NA,NA,NA,NA
Tenebrio nitidulus,NA,NA,NA,NA,NA
Tenebrio obscurus,27449,Tenebrio,Tenebrionidae,Coleoptera,Insecta
Catoptropteryx apicalis,NA,NA,NA,NA,NA
Decticus albifrons,470614,Decticus,Tettigoniidae,Orthoptera,Insecta
Phaneroptera nana sparsa,NA,NA,NA,NA,NA
Zeuneria biramosa,NA,NA,NA,NA,NA
Bitoma crenata,346746,Bitoma,Zopheridae,Coleoptera,Insecta
Altica nitens,NA,NA,NA,NA,NA
Altica pyritosa,NA,NA,NA,NA,NA
Altica rothschildii,NA,NA,NA,NA,NA
Aspidomorpha isparetta,NA,NA,NA,NA,NA
Aspidomorpha mutata,NA,NA,NA,NA,NA
Aspidomorpha quadrimaculata,NA,NA,NA,NA,NA
Aspidomorpha togata,NA,NA,NA,NA,NA
Candezea basalis,NA,NA,NA,NA,NA
Candezea duvivieri,NA,NA,NA,NA,NA
Candezea haematura,2612863,Candezea,Chrysomelidae,Coleoptera,Insecta
Cassida altiscula,NA,NA,NA,NA,NA
Cassida inaequalis,NA,NA,NA,NA,NA
Cassida numerosa,NA,NA,NA,NA,NA
Cassida testa,NA,NA,NA,NA,NA
Cassida japana,NA,NA,NA,NA,NA
Chrysolina affinis,75504,Chrysolina,Chrysomelidae,Coleoptera,Insecta
Chrysolina aupichalcea,NA,NA,NA,NA,NA
Chrysolina banksi,NA,NA,NA,NA,NA
Chrysolina diluta,75513,Chrysolina,Chrysomelidae,Coleoptera,Insecta
Chrysolina opulenta,NA,NA,NA,NA,NA
Chrysomela coerulans,111537,Chrysolina,Chrysomelidae,Coleoptera,Insecta
Chrysomela fuliginosa,NA,NA,NA,NA,NA
Chrysomela graminis,NA,NA,NA,NA,NA
Chrysomela haemoptera,NA,NA,NA,NA,NA
Chrysomela lurida,NA,NA,NA,NA,NA
Chrysomela polita,NA,NA,NA,NA,NA
Chrysomela serialis,NA,NA,NA,NA,NA
Chrysomela varians,NA,NA,NA,NA,NA
Chrysomela violacea,NA,NA,NA,NA,NA
Cryptonychus macrorhinus,NA,NA,NA,NA,NA
Cyrtonus almeriensis,NA,NA,NA,NA,NA
Cyrtonus plumbeus,405614,Cyrtonus,Chrysomelidae,Coleoptera,Insecta
Diabrotica vittata,NA,NA,NA,NA,NA
Diabrotica trivittata,NA,NA,NA,NA,NA
Galeruca lineola,NA,NA,NA,NA,NA
Galerucella nymphaeae,131645,Galerucella,Chrysomelidae,Coleoptera,Insecta
Galeruca tanaceti,428704,Galeruca,Chrysomelidae,Coleoptera,Insecta
Smaragdina apicalis,NA,NA,NA,NA,NA
Diacantha bifasciata,NA,NA,NA,NA,NA
Diacantha bifossulata,NA,NA,NA,NA,NA
Diacantha diffusa,NA,NA,NA,NA,NA
Diacantha dubia,NA,NA,NA,NA,NA
Diacantha duplicata,NA,NA,NA,NA,NA
Diacantha flavodorsata,NA,NA,NA,NA,NA
Diacantha humilis,NA,NA,NA,NA,NA
Diacantha sinuosa,NA,NA,NA,NA,NA
Diacantha stuhlamanni,NA,NA,NA,NA,NA
Idacantha hastata,NA,NA,NA,NA,NA
Laccoptera gydenstolpei,NA,NA,NA,NA,NA
Laetiacantha distincta,NA,NA,NA,NA,NA
Leptaulaca basalis,NA,NA,NA,NA,NA
Leptaulaca fissicolis,NA,NA,NA,NA,NA
Megaleruca triloba,NA,NA,NA,NA,NA
Megalognatha ruandana,NA,NA,NA,NA,NA
Monolepta apicalis,NA,NA,NA,NA,NA
Oidosoma coccinella,NA,NA,NA,NA,NA
Ootheca mutabilis,2052830,Ootheca,Chrysomelidae,Coleoptera,Insecta
Otiorhynchus meridionalis,703596,Otiorhynchus,Curculionidae,Coleoptera,Insecta
Parasbecesta costalis,NA,NA,NA,NA,NA
Parasbecesta ruwenzorica,NA,NA,NA,NA,NA
Plagiodera ferrugata,NA,NA,NA,NA,NA
Plagiodera thoracica,NA,NA,NA,NA,NA
Platyxantha carinata,NA,NA,NA,NA,NA
Schematizella erythrocephala,NA,NA,NA,NA,NA
Timarcha affinis,NA,NA,NA,NA,NA
Timarcha atlantica,262018,Timarcha,Chrysomelidae,Coleoptera,Insecta
Timarcha balaerica,NA,NA,NA,NA,NA
Timarcha goettingensis,79522,Timarcha,Chrysomelidae,Coleoptera,Insecta
Timarcha interstitialis,79527,Timarcha,Chrysomelidae,Coleoptera,Insecta
Timarcha nicaensis,NA,NA,NA,NA,NA
Xenarthracella sylvatica,NA,NA,NA,NA,NA
Coccinella novemnotata,1709623,Coccinella,Coccinellidae,Coleoptera,Insecta
Coccinella quatuordecimpustulata,NA,NA,NA,NA,NA
Pachychila punctata mamorensis,NA,NA,NA,NA,NA
Pachychila trisulcata,NA,NA,NA,NA,NA
Catantops melanostictus,NA,NA,NA,NA,NA
Pterostichus stygicus,484294,Pterostichus,Carabidae,Coleoptera,Insecta
Abisares viridipennis,NA,NA,NA,NA,NA
Atractomorpha aberrans,NA,NA,NA,NA,NA
Atractomorpha acutipennis gerstaeckeri,NA,NA,NA,NA,NA
Oxycatantops spissus,795453,Oxycatantops,Acrididae,Orthoptera,Insecta
Cyrtacanthacris aeruginosa,2023351,Cyrtacanthacris,Acrididae,Orthoptera,Insecta
Eyprepocnemis plorans ibandana,NA,NA,NA,NA,NA
Eupropacris coeruleus,NA,NA,NA,NA,NA
Oxycatantops congoensis,NA,NA,NA,NA,NA
Paracinema luculenta,NA,NA,NA,NA,NA
Valanga gohieri,NA,NA,NA,NA,NA
Valanga papuasica,NA,NA,NA,NA,NA
Limnephilus flavicornis,292572,Limnephilus,Limnephilidae,Trichoptera,Insecta
Limnephilus ignotus,NA,NA,NA,NA,NA
Limnephilus politus,1960800,Limnephilus,Limnephilidae,Trichoptera,Insecta
Encoptolophus sordidus,1249064,Encoptolophus,Acrididae,Orthoptera,Insecta
Occidentosphena ruandensis,NA,NA,NA,NA,NA
Peltoides senegalensis,NA,NA,NA,NA,NA
Tenebrio guineensis,NA,NA,NA,NA,NA
Epilachna annulata,1572152,Henosepilachna,Coccinellidae,Coleoptera,Insecta
Epilachna apicalis,NA,NA,NA,NA,NA
Epilachna bissexpustulata,NA,NA,NA,NA,NA
Epilachna lucifera,NA,NA,NA,NA,NA
Epilachna scutellaris,NA,NA,NA,NA,NA
Epilachna serva,NA,NA,NA,NA,NA
Epilachna connectens,1572157,Henosepilachna,Coccinellidae,Coleoptera,Insecta
Epilachna apicornis,NA,NA,NA,NA,NA
Epilachna gibbosa,NA,NA,NA,NA,NA
Epilachna kaffaensis,NA,NA,NA,NA,NA
Epilachna karisimbica,1572133,Epilachna,Coccinellidae,Coleoptera,Insecta
Epilachna rubropustulata,NA,NA,NA,NA,NA
Dendarus tristis,NA,NA,NA,NA,NA
Scaurus striatus,1390701,Scaurus,Tenebrionidae,Coleoptera,Insecta
Scaurus uncinus,1390702,Scaurus,Tenebrionidae,Coleoptera,Insecta
Coccinella californica,2018601,Coccinella,Coccinellidae,Coleoptera,Insecta
Ceropria induta subocellata,NA,NA,NA,NA,NA
Niptus hololeucus,1588567,Niptus,Ptinidae,Coleoptera,Insecta
Potamophylax rotundipennis,446498,Potamophylax,Limnephilidae,Trichoptera,Insecta
Ernobius abietis,1587281,Ernobius,Anobiidae,Coleoptera,Insecta
Nauphoeta cinerea,6990,Nauphoeta,Blaberidae,Blattodea,Insecta
Heterocerus sericans,1587082,Augyles,Heteroceridae,Coleoptera,Insecta
Hylaster ater,NA,NA,NA,NA,NA
Hylaster cunicularius,NA,NA,NA,NA,NA
Hylaster opacus,NA,NA,NA,NA,NA
Litargus connexus,433179,Litargus,Mycetophagidae,Coleoptera,Insecta
Oxytelus tetracarinatus,NA,NA,NA,NA,NA
Pedicia rivosa,NA,NA,NA,NA,NA
Pharaxonotha hirschi,NA,NA,NA,NA,NA
Philonthus concinnus,878353,Philonthus,Staphylinidae,Coleoptera,Insecta
Philonthus immundus,NA,NA,NA,NA,NA
Pityogenes bidentatus,1325381,Pityogenes,Curculionidae,Coleoptera,Insecta
Pocadius ferrugineus,577168,Pocadius,Nitidulidae,Coleoptera,Insecta
Poecilus lipidus,NA,NA,NA,NA,NA
Polyphaga aegyptiaca,7085,Polyphaga,Corydiidae,Blattodea,Insecta
Cyphoderes raptor,NA,NA,NA,NA,NA
Scaphosoma agaricinum,NA,NA,NA,NA,NA
Ecdyonurus forcipula,NA,NA,NA,NA,NA
Silvanus unidentatus,295940,Silvanus,Silvanidae,Coleoptera,Insecta
Carpelimus bilineatus,346749,Carpelimus,Staphylinidae,Coleoptera,Insecta
Trogophloeus rivularis,NA,NA,NA,NA,NA
Limnephilus bipunctatus,1875627,Limnephilus,Limnephilidae,Trichoptera,Insecta
Limnephilus griseus,1875639,Limnephilus,Limnephilidae,Trichoptera,Insecta
Limnephilus vittatus,1875659,Limnephilus,Limnephilidae,Trichoptera,Insecta
Ceuthophilus brevipes,1808021,Ceuthophilus,Rhaphidophoridae,Orthoptera,Insecta
Ceuthophilus divergens,NA,NA,NA,NA,NA
Ceuthophilus gracilipes,317216,Ceuthophilus,Rhaphidophoridae,Orthoptera,Insecta
Hadenoecus putaneus,NA,NA,NA,NA,NA
Parcoblatta virginica,2577065,Parcoblatta,Ectobiidae,Blattodea,Insecta
Ceuthophilus uhleri,114946,Ceuthophilus,Rhaphidophoridae,Orthoptera,Insecta
Neoconocephalus fratellus,NA,NA,NA,NA,NA
Omoplata normalis,NA,NA,NA,NA,NA
Corticeus unicolor,1553231,Corticeus,Tenebrionidae,Coleoptera,Insecta
Limnephilus decipiens,329909,Limnephilus,Limnephilidae,Trichoptera,Insecta
Chaetopteryx villosa,1203598,Chaetopteryx,Limnephilidae,Trichoptera,Insecta
Drusus rectus,492542,Drusus,Limnephilidae,Trichoptera,Insecta
Potamophylax nigricornis,1271736,Potamophylax,Limnephilidae,Trichoptera,Insecta
Limnephilus nigriceps,691727,Limnephilus,Limnephilidae,Trichoptera,Insecta
Limnephilus stigma,260544,Limnephilus,Limnephilidae,Trichoptera,Insecta
Glyphotaelius punctatolineatus,NA,NA,NA,NA,NA
Glyphotaelius pellucidus,1271742,Glyphotaelius,Limnephilidae,Trichoptera,Insecta
Halesus interpunctatus,NA,NA,NA,NA,NA
Sminthurus fuscus,NA,NA,NA,NA,NA
Sminthurus marginatus,NA,NA,NA,NA,NA
Dicytorma ornata,NA,NA,NA,NA,NA
Tetrodontophora bielanensis,48717,Tetrodontophora,Onychiuridae,Poduromorpha,Collembola
Chilocorus rubidus,419958,Chilocorus,Coccinellidae,Coleoptera,Insecta
Craspedonotus tibialis,1885628,Craspedonotus,Carabidae,Coleoptera,Insecta
Gonocephalum pubens,1304785,Gonocephalum,Tenebrionidae,Coleoptera,Insecta
Cis castaneus,577775,Cis,Ciidae,Coleoptera,Insecta
Isotoma viridis,187635,Isotoma,Isotomidae,Entomobryomorpha,Collembola
Uloma latimanus,NA,NA,NA,NA,NA
Sericostoma timidum,NA,NA,NA,NA,NA
Cis hispidus,577140,Cis,Ciidae,Coleoptera,Insecta
Cis americanus,NA,NA,NA,NA,NA
Sulcacis affinis,577151,Sulcacis,Ciidae,Coleoptera,Insecta
Gampsocleis burgeri,NA,NA,NA,NA,NA
Allecula fuliginosa,NA,NA,NA,NA,NA
Ceuthophilus valgus,NA,NA,NA,NA,NA
Coptotomus interrogatus,159805,Coptotomus,Dytiscidae,Coleoptera,Insecta
Ceuthophilus neglectus,NA,NA,NA,NA,NA
Udeopsylla nigra,NA,NA,NA,NA,NA
Amarygmus laniger,NA,NA,NA,NA,NA
Gryllus campestris,58607,Gryllus,Gryllidae,Orthoptera,Insecta
Lucanus capreolus,617990,Lucanus,Lucanidae,Coleoptera,Insecta
Octotemnus glabriculus,433255,Octotemnus,Ciidae,Coleoptera,Insecta
Ctenolepisma villosa,257043,Ctenolepisma,Lepismatidae,Zygentoma,Insecta
Allognathotermes hypogeus silvestri,NA,NA,NA,NA,NA
Supella longipalpa,83902,Supella,Ectobiidae,Blattodea,Insecta
Derispia maculipennis,NA,NA,NA,NA,NA
Chlaenius vestitus,109858,Chlaenius,Carabidae,Coleoptera,Insecta
Chlaenius velutinus,1587170,Chlaenius,Carabidae,Coleoptera,Insecta
Chlaenius nogushii,NA,NA,NA,NA,NA
Chlaenius nigricans,NA,NA,NA,NA,NA
Chlaenius circumdotus,NA,NA,NA,NA,NA
Chlaenius inops,1885606,Chlaenius,Carabidae,Coleoptera,Insecta
Erionomus planiceps,2755234,Erionomus,Passalidae,Coleoptera,Insecta
Erionomus platypleura,NA,NA,NA,NA,NA
Didimus africanus,NA,NA,NA,NA,NA
Prioscelis serrata,NA,NA,NA,NA,NA
Prioscelis fabricii,NA,NA,NA,NA,NA
Prioscelis westwoodi,NA,NA,NA,NA,NA
Opatrinus latipes,NA,NA,NA,NA,NA
Eutochia pulla,NA,NA,NA,NA,NA
Morion guineensis,NA,NA,NA,NA,NA
Gryllus pennsylvanicus,51074,Gryllus,Gryllidae,Orthoptera,Insecta
Gryllus vernalis,2508842,Gryllus,Gryllidae,Orthoptera,Insecta
Metrioptera saussuriana,NA,NA,NA,NA,NA
Nemobius sylvestris,515599,Nemobius,Gryllidae,Orthoptera,Insecta
Harpalus ruficornis,NA,NA,NA,NA,NA
Harpalus affinis,247283,Harpalus,Carabidae,Coleoptera,Insecta
Harpalus servus,1587338,Harpalus,Carabidae,Coleoptera,Insecta
Amara aulica,536885,Amara,Carabidae,Coleoptera,Insecta
Amara fulva,1553056,Amara,Carabidae,Coleoptera,Insecta
Amara similata,272013,Amara,Carabidae,Coleoptera,Insecta
Dromius longiceps,878074,Paradromius,Carabidae,Coleoptera,Insecta
Epilampra kerandrenii,NA,NA,NA,NA,NA
Soronia punctatissima,1588467,Soronia,Nitidulidae,Coleoptera,Insecta
Soronia grisea,878989,Soronia,Nitidulidae,Coleoptera,Insecta
Rhizophagus bipustulatus,295920,Rhizophagus,Monotomidae,Coleoptera,Insecta
Ips sexdentatus,55985,Ips,Curculionidae,Coleoptera,Insecta
Sericostoma personatum,1271737,Sericostoma,Sericostomatidae,Trichoptera,Insecta
Notidobia ciliaris,446507,Notidobia,Sericostomatidae,Trichoptera,Insecta
Euchilotermes tensus,377908,Euchilotermes,Termitidae,Blattodea,Insecta
Taraxides laevigatus,NA,NA,NA,NA,NA
Scaphidium quadrimaculatum,295644,Scaphidium,Staphylinidae,Coleoptera,Insecta
Tritoma bipustulata,295904,Tritoma,Erotylidae,Coleoptera,Insecta
Anechura bipunctata,94124,Anechura,Forficulidae,Dermaptera,Insecta
Tenebrio castaneus,NA,NA,NA,NA,NA
Amarygmus morio,NA,NA,NA,NA,NA
Pachychila punctata,NA,NA,NA,NA,NA
Pales crocata,NA,NA,NA,NA,NA
Pales pratensis,NA,NA,NA,NA,NA
Tribolium destructor,188756,Tribolium,Tenebrionidae,Coleoptera,Insecta
Omalium rivulare,347419,Omalium,Staphylinidae,Coleoptera,Insecta
Heterothops dissimilis ,1587351,Heterothops,Staphylinidae,Coleoptera,Insecta
